user_id,cohort,total_amount,paid_at
21465.0,2020-10,5.0,2020-11-06 07:16:22.014422+00:00
,2020-10,5.0,2020-10-17 05:30:46.780335+00:00
,2020-10,5.0,2020-10-31 18:58:22.280263+00:00
3045.0,2020-05,5.0,2020-06-28 15:40:27.730873+00:00
16861.0,2020-06,5.0,2020-08-06 08:42:18.597260+00:00
28368.0,2020-07,5.0,2020-07-07 05:35:03.667748+00:00
28368.0,2020-07,5.0,2020-07-08 05:08:02.504785+00:00
28368.0,2020-07,5.0,2020-10-30 04:39:13.484808+00:00
28368.0,2020-07,5.0,2020-10-30 04:39:12.926578+00:00
63894.0,2020-10,5.0,2020-11-06 19:27:38.941414+00:00
10116.0,2020-10,5.0,2020-11-06 20:35:03.804527+00:00
14484.0,2020-06,5.0,2020-08-05 12:53:32.148493+00:00
4982.0,2020-05,5.0,2020-07-10 17:48:25.329728+00:00
10516.0,2020-05,5.0,2020-07-02 20:58:07.052518+00:00
97141.0,2020-10,5.0,2020-11-07 19:54:45.179907+00:00
58270.0,2020-10,5.0,2020-10-14 13:40:34.228707+00:00
58270.0,2020-10,5.0,2020-11-05 19:55:57.423474+00:00
13867.0,2020-06,5.0,2020-07-20 16:03:12.064269+00:00
12459.0,2020-06,5.0,2020-07-06 04:37:30.397897+00:00
12459.0,2020-06,5.0,2020-08-03 09:49:45.010485+00:00
22673.0,2020-09,5.0,2020-10-06 23:03:22.506603+00:00
1658.0,2020-05,5.0,2020-06-23 08:20:51.758856+00:00
6536.0,2020-05,5.0,2020-06-25 16:27:48.383324+00:00
38553.0,2020-09,5.0,2020-10-13 19:42:59.783822+00:00
86577.0,2020-10,5.0,2021-01-27 00:17:35.578780+00:00
29041.0,2020-07,5.0,2021-01-13 03:45:12.073693+00:00
29041.0,2020-07,5.0,2021-01-13 03:45:12.031024+00:00
29041.0,2020-07,5.0,2021-01-13 03:45:12.053496+00:00
29041.0,2020-07,5.0,2021-01-13 03:45:12.094400+00:00
47.0,2020-08,5.0,2020-09-01 10:54:17.647566+00:00
47.0,2020-08,5.0,2020-09-22 15:05:36+00:00
907.0,2020-05,5.0,2020-08-04 07:23:34+00:00
11648.0,2020-05,5.0,2020-06-23 08:20:48.927248+00:00
11648.0,2020-05,5.0,2020-11-10 21:40:13.644511+00:00
66362.0,2020-10,5.0,2020-11-06 07:26:46.896995+00:00
9752.0,2020-05,5.0,2020-07-05 22:27:34.152270+00:00
13474.0,2020-09,5.0,2020-09-23 23:12:11.678063+00:00
13474.0,2020-09,5.0,2020-10-05 19:43:14.236974+00:00
35202.0,2020-10,5.0,2020-11-06 19:28:09.024237+00:00
231.0,2020-06,5.0,2020-06-30 06:04:28.731771+00:00
33401.0,2020-08,5.0,2020-09-01 07:04:56.966919+00:00
7281.0,2020-09,5.0,2020-11-05 18:24:17.574143+00:00
7281.0,2020-09,5.0,2020-10-03 19:16:58.431566+00:00
87247.0,2020-10,5.0,2020-12-24 02:25:25.050468+00:00
87247.0,2020-10,5.0,2020-11-01 18:38:32.794785+00:00
26912.0,2020-07,5.0,2020-07-15 00:24:48.816572+00:00
26912.0,2020-07,5.0,2020-07-16 00:18:16.673346+00:00
13607.0,2020-06,5.0,2020-06-23 08:20:50.582532+00:00
964.0,2020-05,5.0,2020-09-15 15:34:32.443685+00:00
